District,Fever Tested,RDT Positive,Month,Year
Doutchi,2017,838,April,2015
Doutchi,1943,649,May,2015
Doutchi,2584,1095,June,2015
Doutchi,1905,885,July,2015
Doutchi,5777,4710,August,2015
Doutchi,12714,11032,September,2015
Doutchi,10391,8518,October,2015
Doutchi,6196,4350,November,2015
Doutchi,6343,3662,December,2015
Doutchi,5907,3039,January,2016
Doutchi,5580,2639,February,2016
Doutchi,5002,2006,March,2016
Doutchi,4072,1617,April,2016
Doutchi,3382,1432,May,2016
Doutchi,3138,1316,June,2016
Doutchi,4568,2839,July,2016
Doutchi,8972,6990,August,2016
Doutchi,11469,9570,September,2016
Dosso,1863,870,April,2015
Dosso,1042,908,May,2015
Dosso,1432,693,June,2015
Dosso,1816,896,July,2015
Dosso,1612,1225,August,2015
Dosso,6887,5375,September,2015
Dosso,5147,3987,October,2015
Dosso,2140,1553,November,2015
Dosso,1775,1045,December,2015
Dosso,1721,1058,January,2016
Dosso,2298,1091,February,2016
Dosso,2261,1091,March,2016
Dosso,1846,929,April,2016
Dosso,1602,719,May,2016
Dosso,1508,709,June,2016
Dosso,1846,1187,July,2016
Dosso,2522,1918,August,2016
Dosso,8846,7452,September,2016
Boboye,446,219,April,2015
Boboye,425,149,May,2015
Boboye,465,179,June,2015
Boboye,864,423,July,2015
Boboye,3819,2958,August,2015
Boboye,3819,2958,September,2015
Boboye,5543,4108,October,2015
Boboye,2100,1238,November,2015
Boboye,1991,1219,December,2015
Boboye,1154,695,January,2016
Boboye,1252,767,February,2016
Boboye,1268,799,March,2016
Boboye,1648,877,April,2016
Boboye,1089,544,May,2016
Boboye,1026,475,June,2016
Boboye,2103,1384,July,2016
Boboye,4270,3098,August,2016
Boboye,5908,4694,September,2016
Keita,326,92,April,2015
Keita,310,24,May,2015
Keita,285,48,June,2015
Keita,749,178,July,2015
Keita,2407,853,August,2015
Keita,4593,2724,September,2015
Keita,4105,2633,October,2015
Keita,2812,1436,November,2015
Keita,2431,1249,December,2015
Keita,2018,493,January,2016
Keita,1777,347,February,2016
Keita,2067,424,March,2016
Keita,1630,242,April,2016
Keita,1347,168,May,2016
Keita,1265,200,June,2016
Keita,1404,243,July,2016
Keita,3949,2339,August,2016
Keita,4803,3475,September,2016
